N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,14:56:27.796,37103,40985,43885,36747,38534,957,994,958,2179,986,1768,1459,1430,1495,1529,1434,517,494,479,438,459,463,428,442,40.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
2,14:56:41.838,37067,41059,44108,37107,38428,959,992,957,2177,985,1784,1460,1430,1497,1527,1432,40.0
3,14:56:44.756,37063,41156,44026,37091,38573,957,995,957,2176,986,1770,1464,1430,1494,1529,1433,40.0
4,14:56:47.897,37069,41047,44052,36837,38655,957,991,959,2177,986,1770,1462,1429,1496,1529,1434,40.0
5,14:56:51.216,37039,41231,43874,37224,38697,956,993,958,2178,986,1768,1461,1430,1492,1527,1434,40.0
6,14:56:54.322,37127,41155,43712,36998,38610,955,994,958,2177,985,1774,1461,1432,1496,1528,1433,40.0
7,14:56:57.218,37180,41285,43851,36939,38704,956,993,959,2178,987,1769,1460,1432,1495,1529,1434,40.0
8,14:57:00.178,37080,41280,43764,37079,38639,957,993,959,2177,986,1771,1459,1433,1492,1526,1431,40.0
9,14:57:03.091,37088,41126,43865,36999,38650,957,993,961,2176,988,1767,1465,1432,1491,1529,1433,40.0
10,14:57:06.199,37229,41265,43915,36848,38722,956,995,958,2177,986,1773,1459,1429,1492,1528,1433,40.0
11,14:57:11.817,37153,41142,43965,36974,38725,957,993,958,2178,985,29,1461,1432,1495,1529,1432,40.0
12,14:57:14.859,37123,41058,43964,37012,38758,956,993,957,2178,984,1773,1459,1434,1495,1530,1434,41.0
13,14:57:17.876,37094,41289,43891,37021,38631,956,992,957,2177,988,1770,1463,1433,1492,1528,1435,41.0
14,14:57:20.910,37128,41147,43750,36915,38766,956,995,958,2179,988,1769,1461,1432,1496,1532,1433,41.0
15,14:57:23.875,37078,41077,43739,37042,38495,956,990,960,2176,988,76,1463,1434,1493,1530,1434,41.0
16,14:57:26.907,37051,41122,43823,36984,38799,956,993,959,2176,986,1767,1464,1431,1493,1528,1431,41.0
17,14:57:30.061,37107,41194,43895,37128,38691,956,995,956,2177,986,1768,1462,1433,1495,1531,1435,41.0
18,14:57:33.055,36970,41375,43807,37035,38611,956,995,959,2177,988,1768,1462,1431,1494,1529,1434,41.0
19,14:57:36.103,37028,41308,43766,37262,38593,956,994,958,2177,988,1771,1460,1428,1495,1530,1435,41.0
20,14:57:38.977,37128,41326,43850,36866,38547,955,993,959,2177,987,21,1462,1431,1495,1528,1434,41.0
21,14:57:44.639,37267,41233,43979,37152,38388,956,992,957,2177,987,29,1460,1429,1496,1528,1434,41.0
22,14:57:47.577,37149,41310,43912,37093,38636,958,993,960,2177,988,1773,1463,1431,1494,1528,1435,41.0
23,14:57:50.434,37103,41407,43847,37202,38726,955,994,956,2176,986,1767,1463,1432,1495,1527,1434,41.0
24,14:57:53.368,37021,41385,43777,37071,38583,957,993,956,2177,986,1771,1462,1434,1493,1527,1431,41.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
25,14:58:09.491,36988,41549,43999,37056,38319,518,494,477,440,462,465,428,447,41.0
26,14:58:14.224,37069,41324,43978,37010,38762,517,493,476,440,460,462,428,442,41.0
27,14:58:18.817,37136,41384,43879,36890,38407,519,492,481,441,460,464,426,444,41.0
28,14:58:23.136,37178,41457,43960,37115,38598,516,495,481,442,458,464,430,443,41.0
29,14:58:27.693,37140,41445,43862,36922,38737,516,493,480,439,463,464,428,445,41.0
30,14:58:32.342,37209,41423,43901,37068,38680,515,495,480,440,460,465,430,443,41.0
31,14:58:39.401,36892,41456,43967,37232,38561,517,495,481,439,461,466,428,444,41.0
32,14:58:43.733,37121,41445,43737,37034,38482,517,494,477,442,458,463,425,445,41.0
33,14:58:48.079,37256,41355,43926,36998,38718,517,494,477,438,462,463,429,447,41.0
34,14:58:52.421,37310,41397,43946,37020,38746,515,494,476,439,460,462,429,445,41.0
35,14:58:56.782,37099,41509,44000,37041,38517,517,493,477,441,460,463,426,443,41.0
36,14:59:01.320,37248,41452,44022,37041,38603,517,495,478,439,462,466,428,449,41.0
37,14:59:05.884,37090,41265,43996,36972,38686,517,494,480,440,464,462,428,448,41.0
38,14:59:10.381,37218,41647,43911,37100,38723,516,496,478,442,460,464,429,446,41.0
39,14:59:14.837,37157,41468,43808,37113,38548,518,494,480,438,461,464,427,446,41.0
40,14:59:19.158,37205,41466,43912,37056,38690,519,493,481,440,460,465,430,443,41.0
41,14:59:26.542,37149,41405,43870,37301,38569,517,493,479,442,461,463,427,443,41.0
42,14:59:30.964,37134,41715,43971,37121,38635,518,496,479,442,461,463,425,448,41.0
43,14:59:35.279,37177,41415,43917,37101,38599,518,496,479,439,459,461,425,444,41.0
44,14:59:39.596,37096,41641,43861,37115,38604,514,492,478,441,458,463,424,448,41.0
45,14:59:43.937,37105,41440,43906,37026,38481,515,495,479,437,461,465,426,444,41.0
46,14:59:48.395,37100,41552,43982,36992,38684,516,493,478,438,462,463,425,448,41.0
47,14:59:52.761,37191,41280,43910,37128,38608,514,495,477,437,461,465,427,447,41.0
48,14:59:57.098,37083,41415,44056,37028,38517,515,494,478,438,462,461,426,447,41.0
49,15:00:01.521,37261,41363,43814,36954,38723,518,493,480,438,462,462,429,446,41.0
50,15:00:05.959,37144,41534,44071,37148,38451,518,492,477,437,460,467,424,446,41.0
51,15:00:13.022,37010,41470,43897,37155,38428,518,493,479,437,462,463,429,446,41.0
52,15:00:17.540,37058,41416,43937,37096,38630,515,492,479,441,461,465,425,446,41.0
53,15:00:22.079,37040,41472,43905,37034,38603,514,495,481,441,460,464,429,447,41.0
54,15:00:26.361,37083,41445,43889,37059,38596,515,492,477,441,462,467,424,446,41.0
55,15:00:30.739,37359,41431,44007,37186,38620,516,492,479,441,459,465,425,443,41.0
56,15:00:35.080,37184,41431,43963,37182,38662,515,495,480,439,459,462,427,445,41.0
57,15:00:39.461,37175,41490,43888,37258,38491,518,497,477,440,460,465,427,444,41.0
58,15:00:43.778,37070,41438,43983,37162,38531,516,495,477,439,460,464,429,448,41.0
59,15:00:48.120,37228,41378,44072,37208,38710,518,491,478,440,465,462,424,444,41.0
60,15:00:52.659,37090,41401,43914,37045,38590,518,492,477,439,461,462,423,444,41.0
61,15:00:59.619,37130,41511,43872,37282,38663,518,496,481,441,465,463,428,446,41.0
62,15:01:03.918,37241,41537,43886,37140,38748,515,493,477,438,462,467,426,447,41.0
63,15:01:08.219,37057,41647,43850,37097,38722,515,496,477,442,462,466,428,444,41.0
64,15:01:12.664,37163,41367,43875,37239,38582,516,492,480,441,464,463,428,445,41.0
65,15:01:17.020,37080,41424,43836,37108,38577,515,494,481,440,464,465,426,446,41.0
66,15:01:21.420,37156,41477,43983,37120,38665,516,491,479,442,461,465,424,445,41.0
67,15:01:25.799,37247,41473,43907,37047,38664,514,493,478,438,459,463,426,449,41.0
68,15:01:30.140,37118,41533,43872,37043,38614,516,494,478,437,461,463,424,446,41.0
69,15:01:34.459,37240,41360,44043,37016,38569,516,492,477,440,462,462,426,446,41.0
70,15:01:38.738,37059,41586,44111,36987,38734,518,495,478,437,460,463,426,444,41.0
71,15:01:45.800,37055,41408,44062,37183,38557,519,496,478,441,460,466,426,446,41.0
72,15:01:50.243,37219,41468,43837,37098,38715,514,495,480,439,461,461,429,446,41.0
73,15:01:54.440,37204,41419,43923,36989,38655,517,492,477,442,459,461,428,444,41.0
74,15:01:58.701,37141,41390,43971,37232,38616,515,493,481,441,459,462,424,448,41.0
75,15:02:02.939,37248,41405,43940,37072,38739,514,494,479,438,460,463,427,446,41.0
76,15:02:07.230,37133,41365,43833,37207,38497,516,493,478,440,463,464,427,446,41.0
77,15:02:11.600,37067,41334,43879,37163,38621,515,495,477,438,462,463,424,450,41.0
78,15:02:16.078,37061,41276,43889,37193,38527,514,492,476,440,459,463,426,446,41.0
79,15:02:20.319,36966,41410,43927,37271,38720,514,493,477,439,462,464,426,446,41.0
80,15:02:24.679,37179,41578,44121,37009,38675,516,495,478,439,462,464,426,444,41.0
81,15:02:31.719,36988,41605,43957,37220,38524,518,495,480,437,463,462,428,446,41.0
82,15:02:36.057,37098,41543,43811,37221,38595,515,495,479,441,461,462,426,447,41.0
83,15:02:40.384,37203,41511,43944,37203,38550,519,495,481,442,463,465,428,445,41.0
84,15:02:45.109,37168,41451,44068,36992,38729,516,491,481,440,463,467,426,442,41.0
85,15:02:49.482,37095,41517,44021,37231,38654,518,492,477,438,459,467,429,446,41.0
86,15:02:53.842,37244,41539,43848,37138,38639,515,492,476,437,461,463,425,447,41.0
87,15:02:58.157,37140,41518,43884,37287,38617,515,493,480,437,462,463,429,447,41.0
88,15:03:02.518,37084,41366,43963,37154,38666,514,495,479,441,459,461,425,447,41.0
89,15:03:06.971,37316,41464,44064,37103,38724,518,492,477,438,461,465,425,444,41.0
90,15:03:11.501,37184,41489,43910,37047,38592,514,492,476,441,460,462,429,446,41.0
91,15:03:18.721,37345,41552,43907,37043,38674,516,493,481,439,462,466,424,447,41.0
92,15:03:22.997,37135,41414,43982,37216,38645,515,492,476,440,462,467,429,442,41.0
93,15:03:27.281,37063,41519,43944,37059,38680,518,495,476,439,460,463,428,446,41.0
94,15:03:31.982,37092,41450,44019,37219,38651,517,494,477,441,461,465,430,448,41.0
95,15:03:36.645,37173,41486,43940,37171,38690,516,493,477,441,463,465,426,442,41.0
96,15:03:41.290,37195,41554,43811,37125,38706,514,495,481,441,458,465,427,445,41.0
97,15:03:45.624,37229,41481,43983,37206,38551,514,494,478,441,462,465,429,447,41.0
98,15:03:50.004,37316,41334,44038,37165,38586,515,494,479,438,465,461,426,445,41.0
99,15:03:54.336,37191,41409,44057,37187,38588,514,496,479,439,464,463,429,446,41.0
100,15:03:58.770,37228,41424,43938,36967,38466,515,493,478,440,462,463,427,443,41.0
101,15:04:05.814,36909,41515,43996,36917,38604,518,496,480,440,461,464,424,448,41.0
102,15:04:10.384,37163,41495,43764,37047,38459,516,495,476,438,460,468,426,443,41.0
103,15:04:14.883,37164,41459,43833,37086,38771,515,491,478,439,464,462,424,446,41.0
104,15:04:19.476,37011,41490,43915,37216,38488,517,491,477,440,458,461,430,446,41.0
105,15:04:24.059,37093,41436,44033,37102,38723,515,494,478,439,461,462,427,446,41.0
106,15:04:28.681,37228,41469,43934,37105,38629,518,493,479,439,460,464,426,447,41.0
107,15:04:33.201,37156,41475,43942,37084,38660,515,493,480,438,461,463,429,446,41.0
108,15:04:37.743,36936,41548,44016,37252,38699,515,496,478,441,461,463,427,444,41.0
109,15:04:42.103,37177,41475,44017,37005,38570,516,494,476,441,460,461,424,443,41.0
