N_07-23-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,13:43:26.073,35029,36942,36505,36133,35811,962,1012,1004,1001,997,2739,1542,1674,1672,1712,1539,503,508,501,419,0,471,532,464,27.0
2,13:43:31.126,34580,36882,36290,35686,35502,963,1012,1004,1002,997,2737,1545,1676,1672,1712,1540,506,505,501,417,0,467,528,466,27.0
3,13:43:35.270,34488,36782,36461,35650,35483,963,1012,1003,1005,998,2738,1541,1677,1673,1714,1539,505,508,498,418,0,469,527,462,27.0
4,13:43:39.803,34706,36765,36262,35872,35623,961,1012,1003,1001,996,2737,1543,1673,1674,1711,1540,502,509,501,418,0,466,529,465,27.0
5,13:43:44.067,34570,36641,36231,35721,35543,962,1013,1003,1003,997,2738,1541,1673,1672,1713,1539,505,506,499,419,0,467,525,461,27.0
6,13:43:48.287,34733,36900,36144,35765,35495,962,1012,1002,1003,999,2736,1544,1674,1674,1712,1537,504,509,502,422,0,469,527,463,27.0
7,13:43:52.489,34689,36792,36302,35848,35564,963,1011,1005,1001,997,2739,1544,1675,1675,1713,1540,504,507,502,420,0,467,526,465,27.0
8,13:43:56.590,34882,36746,36251,35795,35588,962,1012,1005,1002,998,2736,1540,1674,1671,1712,1539,503,509,498,421,0,470,528,460,27.0
9,13:44:00.789,34744,36855,36343,35687,35510,962,1011,1003,1002,996,2739,1543,1675,1673,1714,1535,505,507,501,418,0,467,531,463,27.0
10,13:44:04.929,34859,36690,36348,35688,35453,963,1012,1005,1002,998,2736,1542,1673,1675,1716,1539,506,506,503,418,0,468,531,463,27.0
11,13:44:11.773,34942,36800,36104,35993,35788,961,1012,1004,999,996,2735,1545,1674,1677,1712,1540,504,508,504,418,0,484,528,461,28.0
12,13:44:15.974,34985,36900,36194,35812,35876,961,1012,1004,1001,998,2738,1543,1676,1674,1710,1538,504,509,502,419,0,473,531,463,28.0
13,13:44:20.129,35038,36829,36384,35592,35780,962,1012,1004,1001,998,2739,1543,1673,1676,1712,1539,506,507,499,421,0,472,525,460,28.0
14,13:44:24.275,35044,37053,36355,35619,35566,961,1012,1004,1000,996,2738,1543,1677,1676,1715,1537,504,507,501,420,0,469,528,462,28.0
15,13:44:28.429,35072,36900,36431,35608,35427,962,1012,1005,1001,999,2739,1543,1676,1676,1714,1540,503,506,501,421,0,468,526,462,28.0
16,13:44:32.572,35020,36876,36334,35771,35663,963,1012,1005,1001,996,2738,1543,1677,1671,1712,1539,505,504,502,419,0,470,528,463,28.0
17,13:44:36.631,35157,36835,36352,35674,35714,961,1012,1004,1003,999,2740,1544,1675,1674,1714,1539,504,506,500,418,0,465,528,461,28.0
18,13:44:40.729,35182,36919,36214,35629,35638,962,1012,1003,1002,1000,2736,1542,1675,1676,1712,1540,505,507,500,419,0,469,527,460,28.0
19,13:44:44.868,35257,36962,36444,35793,35792,962,1011,1004,1002,999,2736,1543,1674,1674,1715,1540,505,507,500,420,0,471,527,461,28.0
20,13:44:49.090,35129,36767,36319,35735,35664,963,1011,1005,1001,997,2737,1542,1673,1678,1714,1541,506,508,501,418,0,468,526,459,28.0
21,13:44:56.152,34985,36751,36295,36066,35856,962,1010,1005,1001,998,2738,1543,1675,1675,1713,1540,505,506,502,420,0,468,529,465,28.0
22,13:45:00.409,35134,36966,36343,35731,35626,962,1012,1004,999,999,2737,1541,1672,1671,1715,1540,504,506,499,420,0,468,528,463,28.0
23,13:45:04.913,35015,36877,36391,35524,35761,962,1011,1004,1001,998,2737,1543,1673,1673,1714,1540,502,505,500,421,0,511,531,462,28.0
24,13:45:09.194,35224,36861,36294,35448,35662,962,1012,1003,1001,996,2737,1541,1674,1676,1711,1539,505,507,501,418,0,470,530,463,28.0
25,13:45:13.670,35089,36771,36301,35498,35778,962,1011,1003,998,996,2739,1542,1672,1674,1713,1539,505,507,502,420,0,512,524,459,28.0
26,13:45:18.092,35145,36774,35920,35718,35693,961,1013,1005,1001,996,2738,1542,1673,1673,1712,1538,505,507,501,419,0,470,526,461,29.0
27,13:45:22.688,35211,36704,36041,35561,35681,961,1011,1003,999,997,2739,1545,1675,1671,1715,1538,501,509,500,420,0,511,528,463,29.0
28,13:45:27.671,35475,36823,35910,35572,35766,962,1012,1003,999,997,2740,1542,1677,1672,1713,1537,505,509,499,418,0,472,527,462,29.0
29,13:45:31.930,35495,36721,35974,35413,35847,961,1010,1003,1000,997,2738,1544,1673,1671,1713,1538,505,509,505,418,0,472,529,464,29.0
30,13:45:36.250,35581,36793,35999,35492,35701,962,1011,1005,999,995,2737,1542,1672,1672,1710,1539,505,505,501,419,0,473,530,462,29.0
31,13:45:43.012,35471,36829,36314,35722,35850,961,1011,1003,1000,997,2738,1541,1675,1672,1713,1537,506,507,499,421,0,469,529,462,29.0
32,13:45:47.311,35432,36824,36284,35543,35775,961,1011,1004,999,1000,2738,1544,1676,1672,1714,1538,505,508,500,420,0,468,531,461,29.0
33,13:45:51.561,35574,37012,36192,35620,35846,961,1011,1003,1002,998,2738,1541,1675,1672,1714,1541,504,508,502,421,0,467,525,461,29.0
34,13:45:55.850,35515,36829,36308,35598,35904,963,1011,1003,999,997,2737,1543,1672,1674,1713,1541,506,508,500,418,0,468,527,464,29.0
35,13:46:00.132,35582,36891,36397,35572,35854,961,1011,1003,1002,997,2740,1541,1675,1673,1713,1540,505,507,500,421,0,509,527,462,29.0
36,13:46:04.332,35269,36837,36318,35707,35998,963,1011,1006,999,997,2738,1543,1678,1672,1715,1537,505,509,503,418,0,469,527,463,29.0
37,13:46:08.631,35291,36954,36237,35538,35863,961,1011,1004,1003,997,2737,1543,1676,1674,1715,1540,505,508,501,420,0,467,529,461,29.0
38,13:46:12.890,35245,36785,36116,35597,35839,961,1011,1004,1003,998,2738,1545,1675,1673,1716,1538,502,508,502,417,0,470,530,461,29.0
39,13:46:17.171,35215,37044,36091,35515,36027,963,1011,1003,1000,997,2738,1544,1674,1672,1716,1539,502,506,503,418,0,469,528,463,29.0
40,13:46:21.252,35282,36755,36189,35695,35946,961,1012,1002,1004,998,2738,1542,1674,1673,1715,1538,504,506,500,421,0,473,527,460,29.0
41,13:46:27.964,35651,36789,36284,35941,35811,964,1013,1006,1002,1000,2739,1543,1674,1672,1711,1538,502,507,498,421,0,469,528,465,30.0
42,13:46:32.213,35598,36831,36310,35626,35981,962,1010,1004,1001,998,2738,1544,1675,1676,1715,1540,504,506,502,418,0,467,529,459,30.0
43,13:46:36.430,35449,36884,36168,35874,35946,961,1012,1003,998,999,2737,1545,1674,1677,1713,1539,506,506,501,421,0,471,527,459,30.0
44,13:46:40.712,35426,37081,36148,35645,35935,962,1012,1004,999,996,2739,1542,1675,1673,1715,1536,503,506,502,421,0,466,529,461,30.0
45,13:46:44.773,35613,37003,36394,35635,36000,961,1012,1005,998,998,2737,1542,1676,1676,1716,1539,504,506,501,419,0,469,529,465,30.0
46,13:46:48.893,35320,36968,36281,35741,35862,963,1010,1004,999,998,2739,1542,1675,1675,1716,1539,506,507,503,418,0,471,527,461,30.0
47,13:46:53.255,35548,37018,36199,35905,36029,961,1011,1004,1000,998,2741,1541,1674,1676,1716,1537,505,507,500,420,0,470,532,461,30.0
48,13:46:57.431,35430,36928,36009,35714,36085,962,1013,1005,998,997,2738,1541,1674,1674,1714,1538,506,506,499,420,0,469,528,464,30.0
49,13:47:01.690,35679,36966,36166,35715,36043,963,1011,1003,1002,997,2741,1543,1677,1676,1715,1535,504,505,501,421,0,471,529,459,30.0
50,13:47:06.071,35385,36893,36406,35786,35945,962,1011,1004,999,997,2739,1541,1678,1674,1715,1541,504,507,498,420,0,469,528,464,30.0
51,13:47:12.832,35628,36832,36400,36355,35938,962,1011,1006,1004,1000,2739,1544,1676,1674,1712,1538,503,509,500,419,0,466,529,460,30.0
52,13:47:16.934,35358,36971,36498,36183,36084,962,1014,1003,1002,995,2738,1544,1675,1671,1713,1540,505,507,500,419,0,466,528,462,30.0
53,13:47:21.052,35635,37077,36238,36362,35960,961,1011,1003,1002,996,2741,1541,1674,1674,1715,1541,506,508,505,419,0,469,526,461,30.0
54,13:47:25.312,35555,36924,36323,36107,36023,961,1012,1003,1001,997,2738,1543,1676,1674,1712,1538,504,506,499,420,0,467,527,461,30.0
55,13:47:29.611,35642,37106,36277,36189,36122,962,1011,1004,1000,996,2740,1542,1677,1675,1712,1538,505,505,498,417,0,470,529,461,30.0
56,13:47:33.910,35664,37082,36461,36434,35990,963,1011,1004,1001,997,2741,1545,1677,1673,1712,1539,505,507,500,420,0,466,527,462,30.0
57,13:47:38.010,35533,36980,36173,36354,35981,961,1012,1003,1000,997,2741,1543,1675,1673,1714,1539,505,507,500,420,0,472,529,461,30.0
58,13:47:42.113,35594,36821,36356,36222,36107,962,1011,1002,999,997,2740,1542,1675,1673,1713,1540,505,509,502,419,0,470,532,462,30.0
59,13:47:47.132,35405,36983,36425,36255,35935,962,1013,1003,1000,998,2737,1544,1676,1672,1711,1538,502,508,500,417,0,469,531,461,30.0
60,13:47:51.493,35478,37060,36327,36172,36175,962,1013,1004,1003,1001,2739,1544,1675,1672,1713,1538,505,507,501,420,0,470,529,461,31.0
61,13:47:58.314,35486,36810,36306,36478,35865,961,1013,1004,1001,998,2737,1542,1677,1674,1712,1538,505,507,499,416,0,470,527,462,31.0
62,13:48:02.513,35410,36696,36397,36507,35980,963,1011,1004,998,998,2737,1541,1676,1674,1712,1537,505,505,502,421,0,468,526,462,31.0
63,13:48:06.572,35542,36842,36524,36199,36084,962,1012,1002,1000,997,2740,1544,1675,1673,1712,1537,503,507,502,421,0,470,528,462,31.0
