N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:26:50.868,977,981,959,1029,986,1587,1509,1665,1618,1455,1593,0,350,425,359,266,481,434,398,35.0
2,15:26:55.752,976,980,963,1026,985,1586,1511,1669,1615,1430,1592,0,338,424,364,265,483,438,400,35.0
3,15:27:00.675,978,980,961,1026,986,1589,1510,1664,1619,1394,1592,0,359,429,361,264,481,435,401,35.0
4,15:27:05.518,978,981,963,1027,986,1592,1511,1667,1616,1396,1592,0,70,430,371,263,479,437,401,35.0
5,15:27:10.690,977,981,961,1028,985,1590,1510,1666,1618,1397,1592,0,354,431,371,267,481,433,403,35.0
6,15:27:16.057,977,984,962,1028,986,1588,1511,1666,1617,1372,1592,0,351,433,349,268,483,435,403,36.0
7,15:27:21.022,977,980,961,1028,985,1589,1505,1667,1618,1398,1592,0,356,434,366,269,481,437,401,36.0
8,15:27:25.882,978,980,962,1028,984,1588,1512,1667,1617,1432,1592,0,335,431,369,270,481,437,398,36.0
9,15:27:30.773,977,982,962,1028,987,1588,1512,1666,1615,1449,1590,0,354,433,374,270,482,437,401,36.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
10,15:27:42.464,37207,37624,36132,35815,36149,978,979,963,1028,987,1587,1510,1668,1617,1383,1591,-1,355,433,369,266,479,435,398,36.0
11,15:27:50.140,37141,37621,36028,35848,36065,980,983,958,1030,985,1589,1508,1664,1618,1444,1592,0,356,434,365,265,481,436,399,36.0
12,15:27:55.444,37125,37617,36144,35807,36181,977,980,958,1027,985,1589,1508,1667,1619,1436,1592,1,355,436,364,268,482,434,399,36.0
13,15:28:00.449,37010,37720,36073,35803,36152,978,979,961,1027,985,1587,1512,1666,1618,1450,1592,-1,356,438,186,268,484,436,401,36.0
14,15:28:05.559,37080,37610,36042,35786,36067,978,980,963,1029,987,1589,1509,1665,1616,1440,1590,0,356,436,366,268,484,440,402,36.0
15,15:28:10.550,37151,37770,36037,35936,36032,976,980,960,1027,985,1589,1510,1667,1616,1432,1592,1,340,439,358,265,482,434,399,36.0
16,15:28:15.440,37233,37534,36088,35816,36154,979,979,961,1027,985,1587,1511,1666,1618,1444,1593,0,349,437,361,268,484,434,403,36.0
17,15:28:20.663,37261,37644,36099,35978,36030,976,981,962,1028,984,1586,1508,1665,1617,1440,1592,0,355,438,346,269,479,439,399,36.0
18,15:28:25.568,37056,37666,36151,35767,36164,977,980,964,1027,987,1588,1509,1665,1619,1025,1591,0,342,440,345,271,482,435,402,36.0
19,15:28:30.413,36998,37537,36079,35868,36231,978,981,963,1027,984,1591,1512,1667,1618,1428,1590,0,352,441,361,268,483,437,397,36.0
20,15:28:35.422,37081,37593,36072,35770,36081,979,981,963,1028,986,1587,1513,1666,1618,1101,1591,0,356,440,362,270,484,433,401,36.0
21,15:28:43.201,37067,37661,36116,35857,36085,979,981,960,1028,983,1586,1508,1666,1618,1365,1592,0,359,442,345,270,484,437,402,36.0
22,15:28:48.319,37098,37508,36086,35811,36091,976,981,963,1027,983,1590,1513,1668,1618,1422,1592,0,349,442,351,266,482,434,404,36.0
23,15:28:53.316,37299,37683,36185,35711,35900,982,981,963,1027,985,1587,1509,1667,1617,1420,1591,0,355,440,358,269,481,434,401,36.0
24,15:28:58.208,37144,37609,36105,35906,36087,978,980,963,1027,986,1587,1509,1666,1617,661,1595,0,356,440,298,268,484,438,400,36.0
25,15:29:03.375,37029,37618,36106,35877,36115,979,981,963,1027,985,1589,1510,1668,1616,906,1592,0,49,441,353,272,483,436,402,36.0
26,15:29:08.541,37193,37600,36213,35819,36080,979,980,961,1027,984,1585,1509,1666,1618,530,1593,1,340,438,339,269,483,433,401,36.0
27,15:29:13.698,37084,37691,36122,35854,36131,979,981,962,1028,986,1589,1512,1665,1617,866,1592,0,356,441,343,270,481,436,402,36.0
28,15:29:18.661,37095,37624,36175,35801,36025,978,980,961,1025,985,1587,1509,1666,1616,826,1592,1,353,438,198,269,481,437,403,36.0
29,15:29:23.498,37068,37691,36165,35907,36129,977,981,963,1027,987,1587,1510,1666,1617,1423,1589,0,356,438,341,270,483,436,403,36.0
30,15:29:28.499,37157,37573,36108,35733,36107,977,982,962,1026,986,1589,1512,1666,1616,916,1591,0,355,183,145,269,483,436,400,36.0
31,15:29:36.324,37074,37600,36083,35741,36170,979,982,958,1027,987,1588,1510,1668,1616,928,1593,0,356,440,337,268,483,435,403,36.0
32,15:29:41.334,37104,37637,36034,35781,36078,980,979,961,1029,984,1588,1512,1665,1616,1410,1592,-1,358,443,349,271,481,435,402,36.0
33,15:29:46.185,37178,37529,36120,35809,36241,979,981,961,1028,985,1589,1510,1668,1617,1421,1594,-1,355,442,197,267,482,438,399,36.0
34,15:29:51.086,36990,37629,36188,35903,36077,979,979,960,1027,986,1590,1511,1669,1616,986,1592,1,354,442,343,272,480,435,401,36.0
35,15:29:56.021,37198,37696,36018,35847,36138,977,981,961,1026,984,1589,1510,1668,1618,1418,1591,-1,351,442,346,271,484,434,399,36.0
