N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '0000240000000000', 2, 'E0C30BCAFABFE8C7']
2,[1, 'F23628370C365937', 2, 'E5C33BCAF2BFF3C7']
3,[1, '60370F37DB35B037', 2, 'FFC3F0C9E2BF50C8']
4,[1, '2737EB362D360A37', 2, 'E3C3E0C95BC021C8']
5,[1, '29370E3721361737', 2, 'D5C3FCC9F7BF18C8']
6,[1, 'ED360A37FE35C136', 2, 'F9C3C5C9EDBF1CC8']
7,[1, '10372737D735C836', 2, '3AC437CAFDBFE7C7']
8,[1, '5737F0366E36BA36', 2, 'F1C312CAE0BFC7C7']
9,[1, '0F3739373F362737', 2, '50C420CA06C0C5C7']
10,[1, '0C372137AD354836', 2, '23C4CFC944C0DCC7']
11,[1, '0E37E8364B36EA36', 2, '01C400CACCBFC2C7']
12,[1, 'E036F836F9351837', 2, 'F3C31DCA40C019C8']
13,[1, '6437E03610366E37', 2, 'F8C34ECA0BC020C8']
14,[1, '1A3700370B36E136', 2, '1BC417CAA9BF05C8']
15,[1, 'F036F1360236F136', 2, 'EEC3FFC946C022C8']
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '000000000000BF019801', 2, '000000000000BF019801']
2,[1, '00000000000057013501', 2, '00000000000057013501']
3,[1, '00000000000057013501', 2, '00000000000057013501']
4,[1, '00000000000057013501', 2, '00000000000057013501']
5,[1, '00000000000057013501', 2, '00000000000057013501']
6,[1, '00000000000057013501', 2, '00000000000057013501']
7,[1, '00000000000057013501', 2, '00000000000057013501']
