N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
1,18:23:04.596,959,991,959,2180,986,17,1460,1432,1495,1528,1436,40.0
2,18:23:07.575,959,995,960,2181,984,1772,1460,1430,1492,1529,1437,40.0
3,18:23:10.602,957,993,957,2183,984,15,1460,1431,1494,1531,1434,40.0
4,18:23:13.517,960,994,959,2183,985,1768,1461,1430,1497,1532,1432,40.0
5,18:23:16.510,955,995,957,2182,986,16,1463,1428,1491,1527,1432,40.0
6,18:23:19.397,958,995,958,2182,984,1771,1460,1430,1493,1529,1432,40.0
7,18:23:22.254,958,991,959,2182,986,15,1463,1429,1491,1529,1431,40.0
8,18:23:25.117,957,993,957,2183,988,122,1460,1429,1493,1529,1432,40.0
9,18:23:28.134,958,993,956,2183,986,1767,1459,1431,1491,1532,1435,40.0
10,18:23:31.294,957,994,958,2180,985,1767,1462,1429,1492,1527,1435,40.0
11,18:23:36.857,958,991,957,2182,986,31,1464,1431,1494,1529,1437,40.0
12,18:23:39.881,958,994,959,2183,986,1773,1464,1428,1493,1526,1437,40.0
13,18:23:42.836,957,993,959,2182,986,15,1465,1432,1494,1531,1436,40.0
14,18:23:45.816,956,993,957,2182,990,1769,1465,1431,1493,1527,1437,40.0
15,18:23:48.717,957,995,957,2182,985,11,1463,1430,1492,1531,1431,40.0
16,18:23:51.678,957,994,956,2178,985,1771,1461,1430,1492,1532,1432,40.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
1,18:24:14.376,36959,40905,44013,36178,37995,955,993,958,2182,988,22,1462,1431,1495,1528,1437,40.0
2,18:24:17.398,36847,40858,43875,36431,38072,958,995,960,2182,984,1769,1464,1430,1494,1529,1436,40.0
3,18:24:20.340,36841,40848,44012,36403,38041,957,992,959,2182,984,1768,1463,1430,1493,1529,1434,40.0
4,18:24:23.276,37014,40950,43864,36510,38124,957,994,959,2183,984,1766,1461,1428,1493,1531,1431,40.0
5,18:24:26.256,36855,40910,43864,36307,38115,958,994,959,2180,986,1766,1462,1429,1494,1531,1433,40.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
6,18:25:20.076,37097,40950,43987,36340,38120,958,993,959,2181,986,22,1463,1430,1493,1531,1434,40.0
7,18:25:22.958,36808,40974,44038,36341,38117,957,994,956,2181,987,1771,1463,1429,1495,1531,1437,40.0
8,18:25:25.836,36982,40905,43983,36396,38067,956,995,958,2182,985,10,1463,1430,1494,1531,1436,40.0
9,18:25:28.717,37089,40837,43912,36364,38121,959,992,960,2184,985,1773,1462,1429,1494,1528,1438,40.0
10,18:25:31.696,36827,40885,44031,36418,37967,957,995,957,2180,984,11,1462,1429,1493,1528,1434,40.0
11,18:25:37.218,37112,40850,43873,36374,38009,958,993,958,2182,988,12,1461,1431,1493,1530,1436,40.0
12,18:25:40.100,37089,40894,44038,36521,38024,956,992,960,2182,986,1773,1460,1433,1492,1531,1435,40.0
13,18:25:42.996,36820,41000,43781,36415,38184,954,994,957,2181,986,11,1461,1430,1491,1530,1437,40.0
