N_07-31-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:00:06.656,40825,38673,39127,0,41399,1152,968,982,0,1000,1646,0,1503,1515,1483,0,523,0,1,307,0,0,0,266,-128.0
2,12:00:10.562,41202,38457,38590,0,41038,1151,968,980,0,998,1645,0,1502,1517,1485,0,522,0,-1,312,0,0,0,267,-128.0
N_07-31-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:00:44.407,41245,38350,38609,0,41453,1152,968,980,0,998,1646,0,1504,1517,1486,0,523,-1,0,308,0,0,1,265,-128.0
2,12:00:48.280,41369,38379,39013,0,41676,1152,969,983,0,999,1646,0,1504,1517,1484,0,521,1,0,310,-1,0,0,267,-128.0
3,12:00:52.164,40726,38334,38752,0,41089,1154,968,981,0,1001,1645,0,1504,1517,1484,0,521,-1,0,313,0,0,0,267,-128.0
4,12:00:56.059,41483,38445,38657,0,41077,1152,967,981,0,998,1646,0,1502,1516,1483,0,522,0,0,313,0,0,-1,270,-128.0
5,12:00:59.919,41085,38732,38524,0,40960,1155,970,981,0,1001,1646,0,1503,1517,1484,0,523,0,0,311,0,0,0,268,-128.0
6,12:01:03.734,41234,38179,38549,0,40685,1155,968,981,0,998,1647,0,1506,1516,1484,0,523,0,0,310,0,0,0,266,-128.0
7,12:01:07.629,41233,38420,39005,0,41595,1150,968,980,0,998,1646,0,1502,1517,1484,0,521,0,0,310,-1,0,2,266,-128.0
8,12:01:11.452,41235,38435,38582,0,41279,1154,968,980,0,997,1646,0,1503,1517,1486,0,521,-1,0,310,1,0,0,270,-128.0
9,12:01:15.354,41046,38719,39285,0,41362,1154,968,982,0,999,1646,0,1504,1515,1486,0,521,0,0,312,0,0,0,265,-128.0
10,12:01:19.194,40996,38096,38267,0,41621,1152,968,981,0,999,1646,0,1505,1515,1488,0,522,0,0,308,0,0,-1,269,-128.0
N_07-31-2018,Time,A1,A2,A3,A4,A5,B4 temp.
1,12:01:51.073,41660,38195,38883,0,41001,-128.0
2,12:01:53.492,41617,38533,38753,0,40752,-128.0
3,12:01:55.851,40777,38706,38610,0,41367,-128.0
4,12:01:58.212,41009,38244,38357,0,41254,-128.0
5,12:02:00.589,41244,38507,38438,0,41390,-128.0
6,12:02:03.020,41010,38500,38436,0,41401,-128.0
7,12:02:05.513,41104,38461,39104,0,41236,-128.0
8,12:02:07.878,41011,38276,38709,0,41224,-128.0
9,12:02:10.311,41325,38006,38626,0,41126,-128.0
10,12:02:12.639,41653,38425,38884,0,40849,-128.0
11,12:02:17.721,41292,38666,38745,0,41295,-128.0
12,12:02:20.146,40931,38503,38291,0,41906,-128.0
13,12:02:22.554,41497,38531,38787,0,41216,-128.0
14,12:02:24.973,41051,38792,38264,0,40927,-128.0
15,12:02:27.393,41146,38886,39007,0,42006,-128.0
16,12:02:29.772,40808,38307,38720,0,41104,-128.0
17,12:02:32.117,40963,38490,38405,0,41145,-128.0
18,12:02:34.490,41389,38831,38098,0,41376,-128.0
19,12:02:36.873,41162,38226,38383,0,40797,-128.0
20,12:02:39.272,41044,38656,38904,0,41411,-128.0
21,12:02:44.335,41225,38160,38792,0,41147,-128.0
22,12:02:46.689,40994,38737,38926,0,41104,-128.0
23,12:02:49.076,41224,38422,38670,0,40649,-128.0
24,12:02:51.412,41868,38267,39255,0,41368,-128.0
25,12:02:53.780,41356,38427,38812,0,40924,-128.0
26,12:02:56.172,40960,38521,38811,0,41069,-128.0
27,12:02:58.564,40731,38218,38524,0,41116,-128.0
28,12:03:00.905,41339,38333,39042,0,40790,-128.0
29,12:03:03.319,41591,38289,39263,0,41590,-128.0
30,12:03:05.717,41129,38175,38673,0,41596,-128.0
31,12:03:10.792,41368,38591,39280,0,40909,-128.0
32,12:03:13.202,41034,38302,38374,0,40915,-128.0
33,12:03:15.587,41408,38625,38177,0,41511,-128.0
34,12:03:18.004,41664,38064,39213,0,40989,-128.0
35,12:03:20.377,41530,38559,38544,0,41460,-128.0
36,12:03:22.776,41638,38106,38565,0,41148,-128.0
37,12:03:25.160,41587,38770,38521,0,40715,-128.0
38,12:03:27.516,41445,38609,38862,0,40887,-128.0
39,12:03:29.864,41436,38543,39444,0,41591,-128.0
40,12:03:32.237,41315,38344,38951,0,40931,-128.0
