N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:19:15.757,35895,-3,34881,35211,34634,1182,1073,973,974,971,1492,1550,1503,1611,1739,1543,472,498,470,488,488,475,464,421,29.0
2,11:19:20.111,35773,-106,34642,35468,34653,1182,1073,972,970,971,1491,1552,1504,1612,1740,1544,472,495,468,492,490,475,465,420,29.0
3,11:19:24.480,35735,36757,34730,35523,34720,1181,1070,971,970,971,1492,1553,1504,1612,1737,1542,470,498,465,491,487,478,461,423,29.0
4,11:19:28.664,35716,36598,34685,35538,34393,1185,1072,974,968,972,1495,1552,1505,1612,1737,1544,469,497,467,490,485,476,462,420,29.0
5,11:19:32.803,35769,36762,34790,35317,34394,1182,1073,973,969,972,1489,1550,1507,1613,1736,1545,469,497,469,492,487,477,465,419,29.0
6,11:19:37.023,35804,36770,34722,35226,34280,1183,1072,974,969,971,1492,1553,1504,1611,1737,1545,470,499,469,490,488,474,461,422,29.0
7,11:19:41.184,35817,36843,34957,35462,34373,1182,1073,974,968,972,1491,1555,1506,1614,1736,1542,471,499,471,491,486,473,464,417,29.0
N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
8,11:19:51.079,35700,36725,35007,35469,34496,1183,1071,974,969,971,1490,1553,1507,1611,1736,1545,469,498,467,490,489,476,465,418,--
9,11:19:55.576,35750,36919,34730,35499,34671,1184,1071,973,971,972,1491,1550,1506,1611,1738,1542,469,498,467,490,489,476,465,418,30.0
3,11:19:57.647,385,356,448,295,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
10,11:19:59.566,35550,36748,34845,35379,34490,1182,1074,974,969,974,1493,1550,1507,1611,1736,1541,469,498,467,490,489,476,465,418,30.0
4,11:20:04.125,-14609,-14640,-13927,-14241,-14256,886,803,729,729,731,1121,1165,1129,1209,1305,1157,0,0,0,0,0,0,0,0,30.0
11,11:20:07.362,35762,36912,34873,35372,34363,1183,1073,973,970,971,1492,1550,1506,1611,1736,1545,473,497,466,493,486,477,462,418,30.0
12,11:20:11.530,35702,36956,34972,35462,34503,1181,1071,975,969,971,1494,1552,1506,1612,1737,1542,473,498,466,492,488,471,460,421,30.0
13,11:20:15.686,35673,36833,34894,35518,34509,1181,1072,973,970,971,1492,1549,1508,1613,1739,1544,469,497,471,490,485,473,462,420,30.0
14,11:20:19.903,35657,36889,34901,35416,34515,1184,1073,973,969,972,1490,1552,1507,1612,1738,1544,470,498,469,491,490,471,464,422,30.0
15,11:20:24.103,35727,36923,34926,35319,34456,1184,1072,971,969,972,1494,1548,1506,1613,1735,1543,472,500,470,494,489,473,465,418,30.0
16,11:20:28.324,35670,36909,34938,35389,34682,1181,1071,973,967,971,1493,1552,1504,1612,1739,1545,472,497,470,490,491,475,463,421,30.0
17,11:20:32.410,35900,37072,35005,35348,34405,1185,1070,975,970,970,1492,1550,1508,1613,1736,1545,471,495,470,496,486,473,465,419,30.0
18,11:20:36.645,35764,36941,34845,35525,34571,1183,1072,971,971,972,1491,1549,1504,1612,1736,1545,473,497,467,491,489,475,462,419,30.0
19,11:20:40.854,35739,36855,34964,35704,34756,1184,1072,973,969,970,1491,1551,1507,1611,1735,1545,471,497,470,490,489,478,463,419,30.0
20,11:20:44.986,35756,36964,34955,35626,34548,1183,1073,974,970,973,1492,1548,1508,1611,1738,1541,469,495,470,489,488,474,463,421,30.0
21,11:20:51.767,35572,36766,34825,35418,34380,1181,1070,974,971,973,1492,1553,1508,1611,1735,1542,472,494,469,489,487,472,464,419,31.0
22,11:20:56.006,35751,37069,34824,35492,34382,1181,1071,973,972,974,1493,1551,1505,1615,1739,1543,470,497,469,492,487,477,463,423,31.0
23,11:21:00.486,35734,37023,34961,35537,34559,1183,1072,974,972,972,1491,1551,1507,1613,1738,1544,471,498,467,490,485,476,464,418,31.0
24,11:21:04.667,35877,36988,35097,35608,34520,1181,1071,975,971,972,1490,1551,1508,1612,1736,1546,472,495,467,489,489,476,464,420,31.0
25,11:21:08.845,35718,37062,35060,35660,34415,1183,1073,973,972,973,1491,1549,1507,1610,1736,1544,472,501,469,490,489,477,464,416,31.0
26,11:21:12.985,35657,37179,35133,35516,34707,1182,1072,973,970,973,1491,1551,1507,1613,1736,1543,470,495,468,492,487,472,466,420,31.0
27,11:21:17.085,35814,37056,34898,35709,34776,1182,1072,974,970,973,1492,1551,1509,1613,1738,1542,472,498,470,489,489,475,465,419,31.0
28,11:21:21.226,35795,36995,35035,35428,34544,1183,1071,975,970,973,1490,1552,1507,1614,1735,1545,471,498,466,493,486,474,461,418,31.0
29,11:21:25.405,35665,36945,35095,35587,34768,1185,1072,973,971,971,1492,1551,1508,1612,1735,1544,469,498,467,490,489,477,464,420,31.0
30,11:21:29.543,35701,37207,35206,35535,34619,1181,1073,975,972,972,1490,1553,1506,1611,1736,1546,471,496,471,492,484,475,463,418,31.0
31,11:21:36.421,35761,36738,35094,35539,34543,1185,1071,974,973,972,1491,1550,1507,1612,1738,1542,468,498,466,492,484,474,463,419,31.0
32,11:21:40.825,35931,37091,34929,35487,34592,1182,1072,972,973,973,1493,1550,1506,1614,1734,1545,472,496,467,490,489,474,461,418,31.0
33,11:21:45.083,35846,37018,35100,35565,34698,1184,1071,974,972,972,1490,1552,1508,1611,1736,1546,472,498,466,489,483,474,467,418,31.0
34,11:21:49.366,35792,36984,35083,35599,34685,1183,1071,975,970,972,1492,1554,1506,1611,1737,1545,470,498,468,489,486,475,464,424,31.0
35,11:21:53.546,35927,37217,35064,35489,34612,1181,1071,973,974,970,1492,1551,1505,1612,1740,1545,468,496,466,492,490,476,465,420,31.0
36,11:21:57.987,35917,37063,35116,35573,34804,1183,1073,976,974,972,1491,1551,1505,1613,1736,1547,469,497,468,492,489,477,462,418,31.0
37,11:22:02.424,35815,37015,35045,35597,34686,1184,1073,973,974,972,1494,1552,1507,1613,1736,1547,472,496,470,490,488,473,462,418,32.0
N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:25:28.921,35892,36882,34857,35617,34330,1181,1074,974,972,971,1493,1551,1503,1612,1737,1543,468,501,465,492,485,472,463,418,34.0
2,11:25:33.049,35906,37181,35079,35752,34597,1182,1074,976,972,971,1492,1552,1505,1613,1738,1543,471,498,467,492,486,477,464,420,34.0
3,11:25:37.291,35994,37205,35034,35633,34728,1181,1076,974,971,972,1494,1552,1504,1612,1736,1542,470,495,468,493,487,477,463,417,34.0
4,11:25:41.412,36000,37124,35018,35706,34769,1182,1073,974,973,969,1489,1550,1506,1612,1736,1543,473,498,470,494,488,476,463,418,34.0
N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:27:44.965,35701,36989,34821,35610,34761,1185,1072,975,970,971,1492,1550,1505,1611,1737,1542,472,495,470,493,485,477,462,420,34.0
N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:32:07.826,36049,36958,34901,36094,34421,1180,1072,973,972,971,1493,1550,1505,1611,1736,1548,471,497,466,490,486,476,462,420,35.0
N_07-25-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
2,11:32:37.848,36059,36825,34827,36269,34604,1181,1071,976,972,973,1491,1549,1506,1613,1734,1547,471,495,469,491,488,475,462,424,35.0
3,11:32:41.830,35995,36898,35117,35961,34661,1180,1074,970,971,972,1493,1553,1506,1611,1738,1547,473,499,470,493,489,474,461,419,35.0
4,11:32:45.828,36067,37060,35219,36051,34537,1184,1073,975,971,975,1494,1549,1505,1613,1736,1547,472,498,468,490,489,476,463,420,35.0
5,11:32:49.749,36072,36987,35217,35931,34568,1184,1074,975,971,971,1494,1551,1505,1614,1739,1546,471,497,469,493,489,474,468,419,35.0
6,11:32:53.627,36162,37026,35030,35863,34770,1181,1073,975,971,971,1492,1549,1506,1612,1737,1546,472,496,468,491,487,474,466,423,35.0
7,11:32:57.510,36118,36929,35128,36124,34456,1182,1072,976,971,972,1492,1550,1504,1611,1738,1546,472,498,468,489,486,476,465,417,35.0
8,11:33:01.450,36041,36984,35304,35999,34556,1183,1074,972,971,971,1493,1549,1505,1612,1736,1546,473,501,468,491,487,478,464,421,35.0
9,11:33:05.249,36051,36926,35162,36108,34722,1181,1073,974,971,972,1493,1549,1506,1614,1736,1547,472,498,466,491,487,476,465,418,35.0
10,11:33:09.182,36054,37015,35391,35882,34688,1181,1072,975,972,973,1493,1552,1503,1612,1737,1547,469,497,469,491,488,475,463,422,35.0
11,11:33:15.890,36108,36789,34945,36164,34430,1185,1070,974,972,972,1491,1550,1504,1613,1737,1546,472,500,469,489,487,475,463,421,35.0
12,11:33:19.970,35987,37047,35209,36127,34641,1184,1070,974,973,972,1492,1551,1507,1611,1737,1544,472,499,470,492,484,475,463,416,35.0
13,11:33:24.049,36285,37027,35244,35798,34542,1183,1073,975,971,972,1494,1550,1507,1613,1739,1545,472,494,470,491,484,475,464,419,35.0
14,11:33:28.028,36201,37008,35249,35825,34751,1184,1071,972,969,970,1494,1551,1504,1611,1735,1545,471,497,467,492,488,475,463,420,35.0
15,11:33:32.051,36100,36947,35230,36079,34671,1181,1074,974,971,969,1495,1553,1505,1612,1738,1542,472,497,467,492,486,475,463,421,35.0
