N_07-13-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:07:59.206,40383,40042,39579,40969,42250,1038,971,1100,1032,963,1595,1501,1536,1434,1551,1551,497,497,508,521,479,474,476,455,27.0
2,12:08:03.873,39946,39599,39112,40719,41914,1035,975,1097,1032,969,1594,1501,1535,1435,1551,1551,494,494,508,523,478,477,472,451,27.0
3,12:08:08.355,40207,39741,39210,40927,42045,1035,971,1098,1033,966,1595,1500,1534,1433,1550,1548,495,495,506,524,478,476,476,455,27.0
N_07-13-2018,Time,A1,A2,A3,A4,A5,B4 temp.
1,12:08:17.748,40117,39865,39527,40978,42040,27.0
2,12:08:20.613,40158,39619,39284,40988,41863,27.0
3,12:08:23.405,39999,39881,39252,41053,42079,27.0
4,12:08:26.236,40047,39804,39517,40900,41884,28.0
5,12:08:29.078,40029,40091,39249,40949,41933,28.0
N_07-13-2018,Time,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:08:39.007,496,496,505,521,481,477,475,456,28.0
2,12:08:42.271,496,493,509,522,479,477,476,453,28.0
3,12:08:45.444,493,497,507,522,479,476,475,452,28.0
4,12:08:48.419,497,496,508,524,477,475,472,456,28.0
N_07-13-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
1,12:08:58.433,1036,975,1099,1033,964,1596,1501,1536,1436,1550,1550,28.0
2,12:09:01.556,1035,971,1096,1034,968,1594,1501,1538,1433,1549,1549,28.0
3,12:09:04.610,1036,970,1096,1035,965,1596,1501,1535,1435,1549,1552,28.0
4,12:09:08.038,1035,972,1096,1035,968,1597,1502,1537,1434,1551,1551,28.0
5,12:09:11.216,1037,972,1096,1034,965,1595,1501,1535,1433,1549,1551,28.0
N_07-13-2018,Time,A1,A2,A3,A4,A5,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:09:55.620,40065,39829,39443,40858,41983,496,496,508,520,479,474,477,454,29.0
2,12:09:59.859,40392,39959,39238,40851,41835,497,493,510,519,481,477,473,451,29.0
3,12:10:03.981,40423,40017,39421,40965,42012,496,493,509,521,479,473,479,451,29.0
4,12:10:08.119,40324,39920,39413,40912,42167,494,497,510,522,480,477,479,454,29.0
N_07-13-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:10:50.112,40418,40177,39587,41318,42398,1037,972,1098,1035,967,1597,1501,1536,1435,1551,1552,496,495,509,523,480,479,475,454,30.0
2,12:10:54.480,40223,40025,39197,40880,42233,1039,974,1098,1032,965,1596,1502,1535,1435,1549,1551,493,496,509,520,480,478,477,455,30.0
