N_08-06-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:16:34.372,39740,38838,40571,39835,40690,1035,0,936,1131,1118,1536,1564,1530,1501,1584,1599,390,365,374,410,329,320,319,344,27.0
N_08-08-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,17:10:33.982,40432,39625,41139,40740,41656,1035,1965,936,1132,1114,1534,1561,1532,1500,1583,1600,393,518,375,412,329,321,322,343,28.0
2,17:10:37.771,40527,39723,41246,40848,41649,1034,1966,936,1133,1113,1534,1564,1531,1502,1584,1602,527,692,502,556,434,431,461,454,28.0
3,17:10:41.491,40550,39577,41267,40728,41787,1033,1967,936,1132,1117,1532,1564,1532,1500,1584,1598,524,690,499,552,435,427,429,459,28.0
4,17:10:45.381,40405,39486,41203,40737,41608,1036,1964,935,1132,1117,1532,1562,1531,1500,1583,1601,527,692,500,551,436,433,431,460,28.0
5,17:10:49.160,40519,39818,41158,40973,41677,1034,1965,937,1131,1117,1534,1562,1532,1503,1584,1602,525,688,498,551,434,431,431,458,28.0
6,17:10:53.065,40420,39685,41292,40589,41481,1034,1965,937,1132,1119,1535,1558,1529,1502,1583,1600,525,688,501,549,432,431,432,458,28.0
7,17:10:56.861,40421,39767,41239,40840,41590,1036,1965,936,1131,1116,1535,1562,1531,1500,1584,1600,524,688,500,553,434,430,428,458,28.0
8,17:11:00.675,40465,39712,41134,40755,41582,1034,1964,937,1133,1116,1532,1564,1530,1502,1583,1600,528,689,500,555,433,433,430,455,28.0
9,17:11:04.469,40477,39752,41176,40786,41599,1036,1966,936,1133,1115,1535,1561,1532,1501,1583,1598,524,692,501,552,435,428,432,458,28.0
10,17:11:08.158,40484,39586,41129,40831,41584,1034,1965,936,1132,1118,1537,1560,1531,1502,1583,1600,528,693,500,551,432,432,430,460,28.0
11,17:11:14.891,40334,39633,41217,40751,41655,1035,1964,936,1131,1117,1535,1561,1532,1500,1585,1602,527,691,503,553,435,428,431,462,28.0
12,17:11:18.560,40566,39538,41065,40721,41616,1034,1964,934,1132,1117,1534,1563,1530,1500,1585,1602,523,691,499,552,435,427,432,455,28.0
13,17:11:22.244,40458,39765,41136,40779,41472,1033,1967,936,1133,1116,1535,1562,1530,1501,1582,1602,525,691,501,551,433,432,429,459,29.0
14,17:11:26.028,40379,39632,41286,40779,41560,1035,1963,935,1133,1118,1536,1561,1534,1502,1584,1602,524,691,501,552,434,429,430,458,29.0
15,17:11:29.796,40594,39541,41039,40727,41572,1032,1968,935,1131,1119,1534,1563,1530,1502,1583,1601,524,687,502,553,434,429,428,461,29.0
16,17:11:33.536,40474,39620,41100,40710,41651,1032,1966,934,1132,1116,1534,1563,1531,1504,1581,1602,523,691,500,550,434,429,431,460,29.0
17,17:11:37.239,40386,39663,41264,40607,41519,1034,1966,936,1136,1117,1535,1560,1532,1503,1582,1601,524,688,501,553,434,427,431,459,29.0
18,17:11:40.848,40433,39595,41253,40661,41706,1034,1967,936,1132,1116,1535,1563,1529,1501,1582,1600,529,690,500,551,434,432,431,459,29.0
19,17:11:44.705,40500,39590,41327,40723,41681,1033,1965,934,1133,1115,1532,1563,1531,1501,1584,1604,527,690,501,549,435,431,430,462,29.0
N_08-08-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
1,17:12:00.629,40534,39712,41071,40814,41738,777,1486,701,854,838,1154,1173,1148,1128,1188,1200,29.0
2,17:12:02.875,40565,39609,41118,40734,41644,1035,1965,938,1133,1115,1533,1564,1530,1502,1585,1600,29.0
3,17:12:05.124,40467,39585,41136,40692,41590,1034,1965,935,1134,1114,1535,1561,1530,1502,1586,1599,29.0
4,17:12:07.389,40614,39639,41243,40583,41633,1036,1965,933,1133,1120,1532,1563,1532,1501,1586,1598,29.0
5,17:12:09.750,40491,39706,41126,40671,41672,1035,1962,935,1132,1115,1533,1562,1532,1500,1585,1600,29.0
6,17:12:12.019,40479,39630,41149,40789,41626,1034,1963,936,1134,1118,1534,1562,1530,1502,1585,1600,29.0
7,17:12:14.296,40409,39763,41319,40802,41642,1034,1962,935,1132,1114,1534,1563,1533,1501,1584,1600,29.0
8,17:12:16.519,40360,39484,41153,40690,41578,1034,1967,934,1133,1115,1533,1563,1529,1501,1584,1601,29.0
9,17:12:18.776,40537,39518,41213,40702,41631,1034,1965,935,1131,1117,1533,1562,1532,1502,1584,1601,29.0
10,17:12:21.026,40444,39628,41180,40745,41450,1035,1963,933,1135,1114,1534,1563,1530,1503,1583,1600,29.0
11,17:12:25.903,40639,39845,41178,40848,41568,1035,1962,934,1133,1114,1535,1562,1532,1499,1585,1599,30.0
12,17:12:28.203,40555,39602,41139,40657,41652,1034,1964,935,1134,1114,1533,1562,1533,1501,1582,1603,30.0
13,17:12:30.479,40588,39658,41199,40710,41462,1034,1966,935,1133,1114,1535,1562,1533,1500,1585,1603,30.0
14,17:12:32.719,40363,39591,41133,40871,41667,1033,1966,936,1133,1115,1532,1561,1533,1501,1585,1602,30.0
15,17:12:34.930,40419,39626,41227,40825,41611,1035,1964,935,1134,1114,1534,1563,1530,1500,1585,1601,30.0
16,17:12:37.197,40615,39729,41280,40735,41564,1034,1962,936,1133,1114,1533,1561,1531,1501,1584,1601,30.0
17,17:12:39.448,40234,39693,41230,40508,41396,1033,1964,934,1133,1117,1535,1563,1533,1501,1584,1602,30.0
18,17:12:41.662,40479,39610,41122,40637,41593,1035,1965,933,1133,1114,1534,1563,1529,1498,1585,1602,30.0
19,17:12:43.914,40408,39707,41205,40709,41628,1036,1964,934,1132,1115,1535,1563,1532,1503,1585,1601,30.0
20,17:12:46.154,40652,39675,41121,40799,41624,1035,1963,935,1133,1115,1533,1563,1534,1501,1585,1601,30.0
21,17:12:51.017,40468,39737,41208,40691,41683,1036,1963,934,1133,1116,1535,1562,1529,1503,1583,1600,30.0
22,17:12:53.288,40504,39711,41094,40703,41580,1034,1964,934,1133,1116,1532,1564,1530,1502,1584,1603,30.0
23,17:12:55.583,40414,39660,41293,40864,41670,1035,1962,934,1134,1118,1534,1562,1530,1501,1585,1600,30.0
24,17:12:58.657,40475,39551,41302,40616,41614,1033,1962,934,1133,1115,1533,1564,1531,1503,1585,1600,30.0
25,17:13:01.088,40593,39724,41040,40789,41637,1033,1962,934,1135,1119,1533,1562,1531,1501,1585,1599,30.0
26,17:13:03.339,40512,39786,41168,40787,41570,1034,1965,934,1132,1114,1533,1561,1531,1500,1585,1601,30.0
27,17:13:05.642,40545,39556,41189,40753,41723,1033,1963,936,1134,1118,1534,1562,1530,1502,1584,1601,30.0
28,17:13:07.902,40446,39817,41176,40737,41624,1037,1965,934,1133,1117,1534,1562,1531,1501,1585,1600,30.0
29,17:13:10.177,40547,39624,40949,40611,41521,1034,1963,937,1133,1116,1534,1561,1532,1503,1583,1602,30.0
30,17:13:12.459,40320,39717,41131,40868,41517,1034,1966,935,1132,1113,1534,1562,1531,1500,1585,1600,30.0
