N_06-28-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:44:21.290,40263,40035,41355,40254,40639,971,900,898,897,996,1501,1499,1502,1499,1498,1502,501,561,524,513,500,477,535,501,29.0
2,11:44:25.649,40055,40038,41389,40346,40741,972,899,898,897,992,1499,1498,1501,1498,1503,1501,502,560,524,514,497,472,535,500,29.0
3,11:44:29.971,40096,40181,41289,40411,40669,972,900,898,901,994,1501,1499,1501,1498,1500,1500,500,559,523,512,494,477,533,501,29.0
4,11:44:34.660,40073,40088,41333,40314,40597,972,900,899,900,994,1501,1501,1501,1502,1499,1501,499,562,524,513,497,477,531,504,29.0
N_06-28-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:46:08.070,40166,40033,41333,40416,40648,974,901,898,898,993,1500,1501,1501,1501,1503,1498,500,560,522,511,499,476,535,501,31.0
2,11:46:12.352,40400,40057,41406,40358,40729,974,901,898,898,993,1501,1499,1502,1502,1500,1500,498,563,523,511,493,476,533,502,31.0
N_06-28-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:56:52.083,40168,39962,41309,40294,40601,974,900,900,896,995,1500,1500,1499,1500,1501,1499,501,561,519,511,496,478,532,501,36.0
2,11:56:56.520,40185,40075,41383,40330,40674,972,901,898,898,996,1501,1501,1500,1501,1499,1502,503,560,522,511,499,475,531,501,36.0
3,11:57:00.921,40281,40091,41289,40401,40631,973,902,898,899,994,1502,1499,1502,1500,1502,1499,504,559,521,512,494,477,533,502,36.0
N_06-28-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:59:00.577,40183,40101,41254,40369,40460,970,900,900,898,995,1502,1501,1499,1503,1502,1503,503,559,524,514,498,475,531,504,37.0
2,11:59:05.364,40216,40082,41267,40212,40641,972,902,898,899,994,1501,1502,1498,1501,1499,1501,500,559,524,510,497,477,537,502,37.0
3,11:59:10.070,40272,39994,41355,40307,40426,973,901,899,897,994,1500,1501,1500,1501,1500,1502,501,559,521,512,498,477,532,501,37.0
4,11:59:15.005,40383,40082,41403,40395,40523,972,902,899,898,996,1500,1502,1498,1501,1501,1502,503,559,523,511,497,476,534,502,37.0
N_06-28-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:00:25.612,40120,40165,41403,40384,40552,974,898,900,897,993,1502,1499,1502,1500,1501,1498,503,559,521,514,495,476,534,505,37.0
2,12:00:30.067,40253,40030,41413,40378,40518,970,900,900,899,993,1502,1498,1503,1498,1501,1502,503,560,524,513,498,476,535,501,37.0
N_06-28-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:02:09.149,40182,40096,41312,40447,40589,972,898,901,898,993,1499,1500,1499,1498,1500,1502,504,561,520,512,498,473,535,502,37.0
2,12:02:13.731,40275,40095,41322,40228,40608,974,898,898,897,993,1499,1496,1500,1500,1500,1502,502,560,523,512,497,478,533,503,37.0
3,12:02:18.329,40255,40011,41306,40305,40645,974,903,898,899,993,1500,1498,1499,1502,1500,1502,502,559,522,514,495,473,535,503,37.0
4,12:02:23.933,40235,40119,41370,40461,40498,972,899,898,897,994,1500,1499,1500,1502,1501,1502,499,559,522,513,497,476,535,504,37.0
5,12:02:28.730,40158,39988,41404,40331,40606,973,899,898,898,995,1500,1498,1500,1500,1501,1502,499,560,524,515,498,475,533,501,37.0
6,12:02:33.422,40208,40227,41356,40327,40583,973,900,899,897,995,1499,1497,1502,1500,1499,1501,499,561,522,514,497,476,533,503,37.0
7,12:02:38.086,40273,40046,41241,40517,40669,973,898,898,898,997,1499,1499,1501,1499,1501,1501,503,559,524,513,496,478,532,504,37.0
8,12:02:42.747,40242,40024,41646,40366,40403,972,900,900,898,995,1501,1498,1500,1500,1500,1501,502,561,523,512,497,474,535,502,37.0
9,12:02:47.466,40294,40114,41235,40231,40720,974,900,899,898,993,1501,1498,1502,1501,1500,1502,502,562,523,515,500,475,531,501,37.0
10,12:02:52.088,40281,40213,41343,40385,40611,974,899,900,898,993,1502,1498,1502,1498,1500,1503,502,561,523,513,501,476,533,501,37.0
11,12:02:59.580,40028,40008,41257,40246,40629,974,898,899,898,994,1498,1501,1502,1499,1502,1499,503,560,523,512,499,478,531,501,37.0
N_06-28-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:03:44.462,40098,39919,41437,40310,40602,974,898,900,900,994,1500,1501,1500,1499,1500,1502,502,560,521,513,493,475,534,502,37.0
2,12:03:48.850,40216,39877,41382,40183,40744,974,898,899,899,995,1499,1500,1500,1498,1500,1500,503,561,523,514,497,477,532,501,37.0
3,12:03:53.250,40135,40120,41396,40375,40518,973,898,897,897,996,1497,1500,1500,1503,1501,1501,501,561,523,511,497,476,533,500,38.0
4,12:03:57.787,40195,40087,41191,40403,40598,974,899,899,898,994,1503,1499,1502,1497,1504,1501,502,558,523,511,497,473,533,503,38.0
5,12:04:02.269,40119,40133,41401,40414,40595,974,900,900,899,993,1501,1498,1502,1497,1500,1501,503,559,520,513,498,478,531,502,38.0
6,12:04:06.790,40236,40147,41328,40277,40602,974,898,897,897,993,1502,1498,1502,1501,1502,1502,502,563,523,514,499,473,536,502,38.0
7,12:04:11.190,40302,40193,41208,40350,40688,974,900,901,898,993,1498,1497,1502,1499,1503,1500,503,562,523,510,493,472,534,502,38.0
8,12:04:15.611,40066,40032,41336,40460,40645,973,900,900,900,995,1499,1497,1501,1500,1502,1502,502,559,522,511,500,479,529,501,38.0
9,12:04:20.089,40245,40005,41372,40356,40665,973,898,898,898,993,1501,1496,1500,1501,1502,1499,500,559,520,515,497,473,534,502,38.0
10,12:04:24.570,40330,40219,41305,40455,40608,972,899,900,899,994,1500,1496,1500,1501,1500,1501,502,559,521,511,497,473,530,503,38.0
11,12:04:31.611,40343,40048,41322,40198,40399,974,899,900,899,996,1497,1500,1500,1497,1501,1500,503,562,521,513,498,476,535,504,38.0
12,12:04:36.050,40206,40208,41339,40438,40722,972,898,897,898,996,1500,1499,1502,1503,1501,1502,501,560,521,511,497,472,535,503,38.0
13,12:04:41.249,40389,40104,41430,40463,40744,974,901,898,898,995,1502,1498,1499,1501,1501,1500,501,558,522,515,497,474,533,501,38.0
14,12:04:46.486,40256,40058,41298,40291,40623,971,902,900,897,994,1499,1499,1501,1500,1501,1502,501,560,520,510,498,478,530,504,38.0
15,12:04:50.924,40207,40143,41356,40399,40513,972,900,899,898,994,1502,1499,1502,1501,1500,1502,500,558,522,515,499,477,532,501,38.0
16,12:04:55.610,40067,40079,41387,40363,40533,970,898,898,897,996,1500,1498,1501,1500,1500,1502,500,559,521,514,497,475,533,503,38.0
17,12:05:00.351,40198,40118,41174,40421,40573,972,898,899,897,995,1501,1498,1500,1502,1501,1502,500,560,522,515,495,476,532,501,38.0
18,12:05:05.211,40219,39962,41509,40180,40756,972,899,899,897,994,1500,1498,1500,1500,1503,1501,500,561,524,512,498,473,535,502,38.0
19,12:05:09.594,40129,39945,41255,40427,40632,970,901,899,898,996,1501,1499,1501,1499,1499,1502,500,563,524,513,496,471,535,499,38.0
