N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:54:05.698,40738,40301,41274,40847,41418,901,898,899,902,900,1499,1498,1498,1496,1499,1499,516,445,421,530,417,402,470,473,38.0
2,15:54:09.509,40252,40220,41042,40565,41021,900,901,899,901,897,1501,1497,1499,1500,1500,1501,514,442,422,530,418,401,468,474,38.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:55:04.186,40679,40636,41419,40806,41380,900,898,900,900,898,1498,1500,1498,1500,1502,1500,514,442,420,532,419,400,472,473,38.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
2,15:55:16.825,40620,40881,41767,40977,41590,900,899,899,900,899,1499,1498,1499,1502,1498,1499,512,443,421,532,419,401,467,472,38.0
3,15:55:20.652,40055,40477,40957,40644,41126,899,896,899,899,901,1500,1498,1497,1501,1499,1500,516,445,419,530,417,399,467,475,38.0
4,15:55:24.478,40179,40358,41022,40535,41284,900,900,900,899,900,1501,1497,1499,1501,1500,1499,513,442,422,530,421,401,467,476,38.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:59:44.172,40750,40757,41407,41100,41539,901,897,899,897,899,1501,1496,1499,1500,1498,1501,513,443,419,528,418,400,470,474,40.0
2,15:59:48.089,40445,40327,41043,40494,41390,901,898,899,898,897,1499,1500,1498,1501,1498,1502,515,445,419,532,417,400,468,472,40.0
3,15:59:51.928,40533,40231,40918,40801,41054,901,897,898,901,900,1498,1498,1498,1500,1501,1498,514,443,420,529,420,401,468,474,40.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
4,16:00:19.591,40758,40652,41321,40996,41926,901,899,897,901,898,1501,1497,1498,1501,1501,1498,514,444,419,532,419,398,471,476,40.0
5,16:00:23.499,40295,40492,41044,40647,41253,900,898,899,898,899,1498,1496,1500,1502,1501,1499,515,444,418,529,422,401,468,474,40.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:01:27.882,40848,40683,41457,41099,41849,900,899,899,898,899,1500,1500,1499,1500,1499,1498,516,441,419,529,418,402,471,472,40.0
2,16:01:31.756,40482,40567,41034,40646,41180,899,899,900,900,900,1499,1497,1500,1502,1500,1499,513,445,422,531,418,399,469,473,40.0
3,16:01:35.511,40409,40438,41060,40699,41157,900,899,899,899,897,1500,1498,1498,1500,1500,1501,514,444,422,530,419,399,472,475,40.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:04:30.334,40994,40830,41463,40939,41819,899,899,901,900,899,1500,1497,1500,1496,1500,1499,514,444,421,529,416,402,469,475,41.0
2,16:04:34.134,40399,40527,40774,40764,41123,902,898,901,899,901,1500,1497,1499,1500,1499,1500,513,446,419,527,418,399,469,477,41.0
3,16:04:37.860,40271,40431,41085,40742,41258,902,898,901,899,899,1500,1498,1498,1499,1501,1501,515,444,423,531,420,404,469,471,41.0
4,16:04:41.538,40181,40539,41093,40594,41229,900,899,900,898,902,1499,1498,1499,1498,1502,1500,515,444,421,532,419,403,470,475,41.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:06:08.778,40992,40857,41388,41273,41812,899,897,901,898,897,1500,1499,1498,1499,1500,1498,515,444,423,531,418,404,467,473,41.0
2,16:06:12.636,40211,40350,40970,40677,41194,901,898,899,901,898,1501,1498,1500,1501,1500,1501,515,444,422,529,420,403,470,476,41.0
3,16:06:16.419,40265,40436,40984,40749,41210,901,898,897,897,900,1502,1500,1500,1499,1500,1502,515,445,421,531,419,400,468,476,41.0
4,16:06:20.166,40399,40313,41119,40853,41335,901,898,900,899,898,1500,1501,1499,1500,1500,1502,516,444,423,531,419,402,467,471,41.0
